BHK,Rent,Size,Bathroom,Price per Square Foot,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Area Type_Carpet Area,Area Type_Super Area,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Cluster
2,10000,1100,2,9,0,1,0,1,0,0,0,1,0,1,0,0
2,20000,800,1,25,1,0,0,1,0,0,0,1,0,1,0,0
2,17000,1000,1,17,1,0,0,1,0,0,0,1,0,1,0,0
2,10000,800,1,12,0,1,0,1,0,0,0,1,0,1,0,0
2,7500,850,1,8,0,1,1,0,0,0,0,1,0,0,0,0
2,7000,600,2,11,0,1,0,1,0,0,0,1,0,1,0,0
2,10000,700,2,14,0,1,0,1,0,0,0,1,0,0,0,0
1,5000,250,1,20,0,1,0,1,0,0,0,1,0,0,0,0
2,26000,800,2,32,0,1,1,0,0,0,0,1,0,0,0,0
2,10000,1000,2,10,1,0,1,0,0,0,0,1,0,1,0,0
3,25000,1200,2,20,1,0,1,0,0,0,0,1,0,1,0,0
1,5000,400,1,12,0,1,1,0,0,0,0,1,0,1,0,0
1,6500,250,1,26,0,0,1,0,0,0,0,1,0,0,0,0
1,5500,375,1,14,0,1,1,0,0,0,0,1,0,1,0,0
3,8500,900,2,9,0,1,1,0,0,0,0,1,0,0,0,0
3,40000,1286,2,31,0,0,1,0,0,0,0,1,0,1,0,0
2,6000,600,1,10,1,0,0,1,0,0,0,1,0,1,0,0
2,10000,800,1,12,0,1,0,1,0,0,0,1,0,1,0,0
2,11000,2000,1,5,0,1,1,0,0,0,0,1,0,1,0,0
2,6000,660,1,9,0,1,0,1,0,0,0,1,0,1,0,0
2,7900,650,1,12,0,1,1,0,0,0,0,1,0,0,1,0
2,9000,400,2,22,0,1,1,0,0,0,0,1,0,0,0,0
1,4000,300,1,13,0,1,1,0,0,0,0,1,0,1,0,0
3,6500,1600,1,4,0,1,0,1,0,0,0,1,0,1,0,0
1,8000,400,1,20,1,0,0,1,0,0,0,1,0,0,0,0
2,7000,1000,1,7,0,1,0,1,0,0,0,1,0,1,0,0
1,5300,355,1,14,1,0,1,0,0,0,0,1,0,1,0,0
2,6000,1000,1,6,1,0,0,1,0,0,0,1,0,1,0,0
2,8500,800,1,10,0,1,0,1,0,0,0,1,0,1,0,0
2,12500,850,2,14,0,1,0,1,0,0,0,1,0,1,0,0
1,7500,350,1,21,0,1,1,0,0,0,0,1,0,1,0,0
2,15000,900,2,16,0,1,1,0,0,0,0,1,0,1,0,0
2,6000,550,1,10,1,0,0,1,0,0,0,1,0,1,0,0
2,5000,500,2,10,0,1,1,0,0,0,0,1,0,1,0,0
3,22000,1100,1,20,0,1,1,0,0,0,0,1,0,1,0,0
2,15000,850,1,17,1,0,1,0,0,0,0,1,0,1,0,0
2,12500,800,1,15,0,1,1,0,0,0,0,1,0,0,0,0
2,7000,630,1,11,0,1,1,0,0,0,0,1,0,0,0,0
2,21000,900,2,23,1,0,1,0,0,0,0,1,0,0,0,0
1,10000,270,1,37,1,0,1,0,0,0,0,1,0,1,0,0
2,7200,630,1,11,1,0,1,0,0,0,0,1,0,1,0,0
3,12000,1500,2,8,0,0,1,0,0,0,0,1,0,0,0,0
1,5000,600,1,8,0,1,0,1,0,0,0,1,0,1,0,0
2,8500,700,1,12,1,0,1,0,0,0,0,1,0,1,0,0
1,6000,300,1,20,1,0,0,1,0,0,0,1,0,1,0,0
2,10000,1300,2,7,1,0,0,1,0,0,0,1,0,0,1,0
2,4600,400,1,11,1,0,1,0,0,0,0,1,0,0,0,0
2,12000,650,2,18,0,1,0,1,0,0,0,1,0,0,1,0
3,30000,2000,2,15,1,0,0,1,0,0,0,1,0,1,0,0
3,15000,1068,2,14,1,0,0,1,0,0,0,1,0,1,0,0
1,7500,150,1,50,0,0,0,1,0,0,0,1,0,1,0,0
1,7500,450,1,16,0,1,1,0,0,0,0,1,0,0,0,0
2,5000,800,1,6,0,1,1,0,0,0,0,1,0,1,0,0
2,15000,1000,2,15,0,1,0,1,0,0,0,1,0,1,0,0
2,11000,900,1,12,1,0,0,1,0,0,0,1,0,0,0,0
1,7000,600,1,11,0,1,1,0,0,0,0,1,0,1,0,0
2,6000,1200,1,5,0,1,0,1,0,0,0,1,0,1,0,0
2,6000,1200,2,5,1,0,0,1,0,0,0,1,0,0,0,0
2,7000,650,2,10,1,0,0,1,0,0,0,1,0,1,0,0
2,8500,720,2,11,1,0,1,0,0,0,0,1,0,1,0,0
1,5000,300,1,16,0,1,1,0,0,0,0,1,0,0,0,0
3,30000,1200,3,25,0,1,1,0,0,0,0,1,0,1,0,0
2,10000,700,2,14,0,1,1,0,0,0,0,1,0,1,0,0
3,30000,2000,2,15,1,0,0,1,0,0,0,1,0,1,0,0
1,3500,250,1,14,1,0,0,1,0,0,0,1,0,1,0,0
2,8000,1100,1,7,0,1,1,0,0,0,0,1,0,0,0,0
1,5000,300,1,16,0,1,1,0,0,0,0,1,0,1,0,0
2,7500,600,1,12,1,0,0,1,0,0,0,1,0,1,0,0
2,6500,800,1,8,0,1,1,0,0,0,0,1,0,1,0,0
1,7500,680,1,11,0,1,0,1,0,0,0,1,0,1,0,0
1,7500,680,1,11,0,1,0,1,0,0,0,1,0,1,0,0
2,16000,850,1,18,1,0,1,0,0,0,0,1,0,0,0,0
2,16000,850,1,18,1,0,1,0,0,0,0,1,0,0,0,0
2,6500,700,1,9,0,1,0,1,0,0,0,1,0,0,0,0
3,40000,1500,2,26,0,1,0,1,0,0,0,1,0,1,0,0
2,12500,950,2,13,1,0,0,1,0,0,0,1,0,1,0,0
2,5500,500,1,11,0,1,0,1,0,0,0,1,0,1,0,0
1,5000,450,1,11,1,0,1,0,0,0,0,1,0,1,0,0
2,6500,700,1,9,0,1,0,1,0,0,0,1,0,0,0,0
1,8000,500,1,16,0,1,0,1,0,0,0,1,0,1,0,0
3,14500,1800,2,8,1,0,0,1,0,0,0,1,0,1,0,0
1,8200,500,1,16,1,0,1,0,0,0,0,1,0,1,0,0
2,15000,480,2,31,0,0,1,0,0,0,0,1,0,1,0,0
6,20000,1000,2,20,1,0,0,1,0,0,0,1,0,1,0,0
2,6700,800,1,8,0,0,0,1,0,0,0,1,0,1,0,0
